算盘,abacus
拘谨的,inhibited
残忍的,inhuman
不近人情的,inhumane,adj
为敌的,inimical
无法仿效的,inimitable
邪恶的,iniquitous
邪恶,iniquity
主动,initiative
命令,injunction
生来的,innate
行为,innocuous
含沙射影,innuendo
预防注射,inoculate
接种,inoculation
过度的,inordinate
焦虑,inquietude
过份好问的,inquisitive
疯狂的,insane
疯狂,insanity
铭刻,inscription
高深莫测的,inscrutable
插入,insert
插入,insertion
局内人,insider
祸害隐伏的,insidious
徽章,insignia
暗指,insinuate
乏味的,insipid
坚持,insistence
粗野的,insolent
使曝晒,insolate
无钱还债的,insolvent
失眠症,insomnia
漠不关心,insouciance
检查,inspection
启示,inspiration
有创见的,inspired
就职,installation
分期付款,installment
立即的,instantaneous
发起,instigate
煽动,instigation
滴注,instill
制定,institute
有帮助的,instrumental
不服从的,insubordinate
无法忍受的,insufferable
不足的,insufficient
缺乏,insufficiency
岛屿的,insular
心胸狭窄,insularity
使绝缘,insulate
胰岛素,insulin
难以克服的,insuperable
叛乱的,insurgent
造反,insurrection
完整的,intact
不可捉摸的,intangible
使成整体,integrate
整合的,integrated
正直,integrity
水果等)外壳,integument
可了解的,intelligible
无节制的,intemperate
埋葬,inter
相互作用,interaction
说好话,intercede
中途拦截,intercept
可互换的,interchangeable
禁止,interdict
暂时的,interim,中间时期过渡时期
编织,interlace
连锁,interlock
对话者,interlocutor
暂时休息,interlude
媒介的中间人,intermediary
无尽头的,interminable
混合,intermingle
暂停,intermission
断断续续的,intermittent
拘禁,intern
拘禁,internment
内讧的,internecine
相互影响,interplay
加入,interpolate
插入,interpolation
置于⋯之间,interpose
插入,interposition
无王时期,interregnum
互相关连,interrelate
审问,interrogate
疑问的,interrogative
横截,intersect
横断,intersection
散布,intersperse
细裂缝,interstice
纠缠,intertwine
介入,intervene
干涉,intervention
交织,interweave
未留遗嘱的,intestate
肠,intestine
肠的,intestinal
亲密,intimacy
密友,intimate,亲密的
暗示,intimate
恐吓,intimidate
恐吓,intimidation
不容异已的,intolerant,adj
使醉,intoxicate
醉人的,intoxicant
倔强的,intractable
不妥协的,intransigent
不妥协,intransigence
无畏的,intrepid
无畏,intrepidity
复杂难懂的,intricate
错综复杂,intricacy
密谋,intrigue
引起极大兴趣的,intriguing
固有的,intrinsic
内省,introspection
反省的,introspective
内向的人,introvert
闯入,intrude
私闯,intrusion
有直觉力的,intuitive
肿大,intumescence
淹没,inundate
淹没,inundation
习惯的,inured
无效力的,invalid
使无效力,invalidate
猛烈抨击,invective
诱骗,inveigle
详细目录,inventory
相反的,inverse
上下倒置,invert
无脊椎的,invertebrate
任职仪式,investiture
积习已深的,inveterate
惹人反感的,invidious
监考．,invigilate
鼓舞,invigorate
不可征服的,invincible
不可侵犯的,inviolable
未受侵犯的,inviolate
诱人的,inviting
祈祷,invocation
祈求,invoke
发票,invoice
复杂的,involved
无法伤害的,invulnerable
碘,iodine
极小量,iota
易发怒的．,irascible
发怒的．,irate
闪光的,iridescent
虹膜,iris
使苦恼,irk
令人苦恼的,irksome
坚固的,ironclad
反话,irony
挖苦的,ironic
使明亮,irradiate
不能妥协的,irreconcilable
无法修复的,irreparable
不可指责的,irreproachable
无法抗拒的,irresistible
不尊敬的,irreverent
不能改变的,irrevocable
灌溉,irrigate
易怒的,irritable
激怒,irritate
地峡,isthmus
重做,iterate
巡回的,itinerant
行程表,itinerary
快而不清楚地说,jabber
疲惫的老马,jade
疲惫的,jaded
锯齿状的,jagged
美洲虎,jaguar
门窗的侧柱,jamb
快乐,jamboree
管理员,janitor
行话,jargon
有偏见的,jaundiced
短程旅游,jaunt
愉快的,jaunty
吸引人的,jazzy
嘲笑,jeer
空洞的,jejune
危险,jeopardy
危及,jeopardize
长篇声讨文字,jeremiad
猛然一拉,jerk
说笑,jest
滑稽的,jesting
向外抛弃,jettison
与⋯一致,jibe
拼图游戏,jigsaw,puzzle
沙文主义,jingoism
开玩笑的,jocose
快乐的,jocund
慢而平静地前进,jog
欢乐的,jolly
快乐,jollity
敦促,jolly
马上长枪比武,joust
喜悦的,jubilant
喜悦,jubilation
法庭的,judicial
有判断力的,judicious
摧毁一切的强大力量,juggernaut
揉杂,jumble
法律学,jurisprudence
有理由的,justifiable
少年的,juvenile
并排,juxtapose
并排,juxtaposition
千变万化的,kaleidoscopic
袋鼠,kangaroo
空手道,karate
爱斯基摩独木舟,kayak
知识,ken
狗舍,kennel
果仁核心,kernel
着火点燃,kindle
运动的,kinetic
售货亭,kiosk
小猫,kitten
盗窃癖,kleptomania
特殊能力,knack
跪下,kneel
编结,knit
敲击的人,knocker
小圆丘,knoll
有节疤的,knotty
有丰富知识的,knowledgeable
荣誉,kudos
费力的,laborious
吃力的,laboured
困难地做,labour
迷宫,labyrinth
鞋带,lace
网状物,lacework
撕裂,lacerate
撕裂,laceration
好流泪的,lachrymose
无精打采的,lackadaisical
卑躬屈膝者,lackey
无光泽的,lacklustre
简洁的,laconic
乳汁的,lactic
缓慢的,laggard
野兽的巢穴,lair
信徒,laity
痛打,lambaste
悲伤哀悼,lament
令人惋惜的,lamentable
切成薄板,laminate
讽刺文章讽刺,lampoon
讽刺作家,lampooner
长矛鱼叉,lance
刺戳,lancinate
被陆地包围的,landlocked
山崩,landslide
没精打采的,languid
身心疲惫,languor
衰弱,languish
瘦削的,lank
宝石工,lapidary
失误,lapse
盗窃,larceny,n
落叶松,larch
猪油,lard
慷慨援助,largesse
玩笑,lark
幼虫,larva
喉炎,laryngitis
喉,larynx
淫乱的,lascivious
鞭子,lash
无力,lassitude
套索,lasso
潜伏的,latent
潜伏期,latency
车床,lathe
言行自由,latitude
格子架,lattice
称赞,laud
值得称赞的,laudable
表扬的,laudatory
月桂树,laurel
荣誉,laurels
熔岩,lava
洗浴,lave
懒散的,lax
松弛,laxity
轻泻药通便的,laxative
普通信徒,layman
分离,leach
传单,leaflet
渗漏,leakage
倾斜,lean
租约,lease
发酵剂,leaven
好色的,lecherous
好色,lechery
帐簿,ledger
斜眼看,leer
顺风的,leeward
遗产,legacy
地图里的说明文字或图,legend
手法,legerdemain
可辩认的,legible
兵团,legion
制定法律,legislate
立法机关,legislature
合法的,legitimate
很长的,lengthy
宽大的,lenient
宽大,lenience
狮子的,leonine
麻疯病,leprosy
伤口,lesion
租户,lessee
致命的,lethal
昏睡,lethargy
白血病,leucocyte
防洪堤,levee
大海兽,leviathan
浮于空中,levitate
轻率,levity
征税征兵,levy
好色的,lewd
词汇的词典的,lexical
词典编纂人,lexicographer
词典,lexicon
倾向,liability
易于⋯⋯的,liable
联系,liaison
奠酒,libation
诽谤,libel
诽谤的,libellous
慷慨,liberality
无拘束的,liberated
性行为放纵者,libertine
性欲,libido
性欲强的,libidinous
n歌词,libretto
自由,licence
纵欲的,licentious
不禁止的,licit
浴场,lido
扣押权,lien
绑缚之物,ligature
木质的,ligneous
小人国的,lilliputian
肢,limb
松软的,limber
不稳定,limbo
五行打油诗,limerick
描述,limn
湖泊的,limnetic
轿车,limousine
无力的,limp,跛行
清澈的,limpid
直系的,lineal
线的,linear
逗留,linger
拖延的,lingering
舌的,lingual
语言学,linguistics
油毡,linoleum
保护伤口的软布,lint
崇拜,lionize
液化,liquefy
清除,liquidate
清除,liquidation
酒精饮料,liquor,n
姿态优雅的,lissom
倾斜,list
无精打采的,listless
精确的忠实原义的,literal
文人,literati
柔软的,lithe
诉讼当事人,litigant
好诉讼的,litigious
垃圾,litter
垃圾桶,litterbin
海岸的,littoral
礼拜形式,liturgy
礼拜式的,liturgical
适于居住的,livable
快活的生动的,lively
患病的,liverish
青灰色的,livid
一条虚度光阴,loaf
沃土,loam
赠恨,loathe
可憎的,loathsome
大厅,lobby
耳垂,lobe
龙虾,lobster
事件发生的现场地点,locale
运动,locomotion
运动的,locomotive
地点,locus
蝗虫,locust
说话的方式或语气,locution
住宿,lodge
寄宿人,lodger
阁楼,loft
崇高的,lofty
日志,log
后勤学,logistics
浮木阻塞,logjam
游荡,loiter
懒洋洋地坐或卧,loll
长寿,longevity
经度,longitude
枯燥的部分或时期,longueur
织布机,loom
愚人,loon
圈,loop
掠夺品,loot
轻快的步伐,lope
多嘴的,loquacious
知识,lore
彩票,lottery
懒散地斜靠,lounge
游手好闲之人,lounger
粗人,lout
粗鲁的,loutish
粗野的,lowbred
润滑剂,lubricant
光滑的,lubricious
赚钱的,lucrative
钱,lucre
刻苦攻读,lucubrate
刻苦研究,lucubration
郁郁不乐的,lugubrious
微温的,lukewarm
摇篮曲,lullaby
蹒跚而行,lumber
杰出人物,luminary
发光的,luminous
一块,lump
笨拙的,lumpish
疯狂,lunacy
疯子,lunatic
突然向前或旁边倒蹒跚而行,lurch
诱惑力,lure
潜伏,lurk
美味的,luscious
强烈的欲望,lust
精力充沛的,lusty
光亮,lustre
有光泽的,lustrous
繁茂的,luxuriant
私刑处死,lynch
抒情的,lyric
骇人的,macabre
权杖,mace
浸软,macerate
阴谋,machination
雨衣,mackintosh,n
宇宙,macrocosm
使人恼火的,maddening
合唱曲,madrigal
大漩涡,maelstrom
音乐大师,maestro
紫红色,magenta
有权威的,magisterial
地方保安官,magistrate
地方保安官的职位,magistracy
宽宏大量的,magnanimous
财主,magnate
磁性,magnetism
放大,magnify
放大,magnification
夸张的,magniloquent
重要,magnitude
鹊,magpie
使残废,maim
权宜之计,makeshift
笨拙的,maladroit
字的误用,malapropism
不满分子,malcontent
不满的,malcontented
诅咒,malediction
有恶意的,malevolent
故障,malfunction
恶意,malice
恶意的,malicious
诽谤,malign
恶毒的,malignant
邪恶,malignity
装病以逃避工作,malinger
可塑的,malleable
木槌,mallet
营养不良,malnutrition
有臭味的不合法的,malodorous
虐待,maltreat
哺乳动物,mammal
镣铐,manacle
命令,mandate
命令的,mandatory
调遣,maneuver
可移动的,maneuverable
撕成碎片,mangle
癫狂,mania
发狂的,maniacal
明白的载货清单,manifest
宣言,manifesto
繁多的,manifold
操纵别人的,manipulative
时装模特儿,mannequin
公馆,mansion
披风,mantle
解放,manumit
手稿,manuscript
枫树,maple
破坏,mar
抢劫,maraud
母马,mare
人造黄油,margarine
书页空白处的,marginal
海的,marine
水手,mariner
木偶,marionette
婚姻的,marital
骨髓,marrow
沼泽地,marsh
有袋动物,marsupial
要求严格服从纪律的人,martinet
烈士,martyr
捣成糊状,mash
假面具,mask
石工,mason
石工技术,masonry
化装舞会,masquerade
大屠杀,massacre
巨大的,massive
船桅,mast
咀嚼,masticate
斗牛士,matador
赋予形体,materialize
母权制,matriarchy
模子,matrix
床垫,mattress
成熟,maturity
感情脆弱的,maudlin
撕裂皮肉,maul
独行者,maverick
自作多情的,mawkish
格言,maxim
严重伤害罪,mayhem
迷宫,maze
草地,meadow
贫乏的,meager
蜿蜒而流,meander
麻疹,measles
精确的,measured
奖牌,medal
爱管闲事的,meddlesome
中间的,median
调停,mediate
中世纪的,medieval
平庸的,mediocre
平庸,mediocrity
沉思的冥想的,meditative
媒介,medium
混杂,medley
自大狂,megalomania
忧郁的,melancholy
柔美流畅的,mellifluous
情节剧,melodrama
旋律,melody
悦耳的,melodious
甜瓜,melon
薄膜,membrane
纪念品,memento
纪念性的,memorial,纪念碑
威胁,menace
不真的,mendacious,adj
虚假,mendacity
乞丐,mendicant,行乞的
仆人的,menial
导师,mentor
雇佣兵,mercenary,唯利是图的
商品,merchandise
善变的,mercurial
小湖,mere
华而不实的,meretricious
合并,merge,v
值得赞赏的,meritorious
美人鱼,mermaid
高台地,mesa
对⋯催眠,mesmerize
新陈代谢,metabolism
变形,metamorphosis
隐喻,metaphor
隐喻的,metaphorical
形而上学,metaphysics
流星的,meteoric
细心的,meticulous
勇气,mettle
精神抖擞的,mettlesome
瘴气,miasma
微生物,microbe
极小的,microscopic
侏儒,midget
风采,mien
移民,migrant
霉,mildew
社会环境,milieu
好战的,militant
磨坊主人,miller
女帽及其装饰物,millinery
比划手脚,mime
模仿,mimic
模仿,mimicry
叫拜楼,minaret
威胁的,minatory
切碎,mince
小画像,miniature
奴才,minion
鲦鱼,minnow
小步舞,minuet
微枝末节,minutia
幻影,mirage
泥沼,mire
欢乐,mirth
愤世嫉俗者,misanthrope
混合物,miscellany
多种的,miscellaneous
淘气的,mischievous
误解,misconstrue
恶棍,miscreant
不幸,mishap
投射出的物体或武器,missile
不合时机的,mistimed
冷而干燥的强风,mistral
史前时代,mists
极小量,mite
减轻,mitigate
手套,mitten
记忆法,mnemonics
呻吟,moan
壕沟,moat
嘲笑,mock
不过份的,moderate
调解人,moderator
少量,modicum
修改,modify
修改,modification
时髦的,modish
调整,modulate
显要人物,mogul
一半,moiety
臼齿,molar
骚扰,molest
安慰,mollify
软体动物,mollusk
过份爱惜,mollycoddle
短暂的,momentary
极重要的,momentous
推进力,momentum
君主,monarch
男修道院,monastery
修道生活,monasticism
杂种动物,mongrel
一夫一妻制,monogamy
专题论文,monograph
巨石的,monolithic
独白,monologue
专利权,monopoly
单调的,monotonous
季雨,monsoon
庞然大物,monster
巨大的,monstrous
旷野地,moor
抑郁不乐,mope
士气,morale
道德学家,moralist
道学气的,moralistic
沼泽地,morass
停止偿付,moratorium
病态的,morbid
病态,morbidity
讥讽的,mordant
风俗习惯,mores
即将结束的,moribund
极蠢之人,moron
脾气坏的,morose
构词学,morphemics
一小块,morsel
小臼,mortar
灰浆,mortar
抵押贷款,mortgage
使屈辱,mortify
耻辱,mortification
停尸间,mortuary
镶嵌细工,mosaic
微粒,mote
主题,motif
促使,motivate
动机,motivation
混杂的,motley
有杂色的,mottled
座右铭,motto
mould
moult
江湖郎中,mountebank
哀悼,mourn
悲伤的,mournful
乐章,movement
混乱,muddle
使声音降低,muffle
消音器,muffler
闷热而潮湿的,muggy
多种的,multifarious
多数,multitude
现世的,mundane
慷慨的,munificent
契据,muniments
军火,munitions
壁画,mural,墙壁的
黑暗的,murky
柔声地说,murmur
沉思,muse
召集,muster
突变,mutation
沉默的,mute
残害,mutilate
反叛者,mutineer
加入叛变的,mutinous
羊肉,mutton
模糊不清的,muzzy
近视,myopia
许多,myriad
神话故事,myth
神话,mythology
最低点,nadir
唠叨,nag
天真,naivete
小睡,nap
自恋,narcissism
催眠的,narcotic,催眠药
鼻的,nasal
初生的,nascent
出生,nativity
整洁的,natty
作呕,nausea
使作呕,nauseate
船员的,nautical
中殿,nave
星云,nebula
模糊不清的,nebulous
贫困的,necessitous
巫术,necromancy
公墓,necropolis
针,needle
违法的,nefarious
取消,negate
取消,negation
疏忽,negligence
可忽略的,negligible
可商量的,negotiable
报应,nemesis
新石器时代的,neolithic
新字,neologism
初生婴儿,neonate
初学者,neophyte
肾炎,nephritis
裙带关系,nepotism
无力的,nerveless
舒适地安顿,nestle
尚未离巢的小鸟,nestling
最低的,nethermost
荨麻,nettle
神经病学,neurology
精神病,neurosis
神经病患者,neurotic
中间的,neutral
使无效,neutralize
连系,nexus
钢笔尖,nib
一点点地咬,nibble
壁龛,niche
小伤口,nick
尼古丁,nicotine
吝啬鬼,niggard
吝啬的,niggardly
琐碎的,niggling
恶梦,nightmare
虚无主义,nihilism
敏捷的,nimble
钳子,nippers
尖酸的,nipping
心灵的平静,nirvana
挑剔,nitpick
夜晚的,nocturnal
恶臭的,noisome
流浪者,nomad
游牧的,nomadic
术语,nomenclature
名义上的,nominal
提名,nomination
无动于衷,nonchalance
冷漠的,nonchalant
态度暖昧的,noncommittal
不遵照传统生活的,nonconformist
不遵从,nonconformity
没有特征的,nondescript
无能力之人,nonentity
无匹敌的人,nonesuch
不易燃的,nonflammable
不遵守,nonobservance
无匹敌的,nonpareil
使窘困,nonplus
防滑的,nonskid
不使用暴力的,nonviolent
绳套,noose
规范,norm
规范的,normative
怀旧之情,nostalgia
秘方药,nostrum
著名,notability
字形刻痕,notch,V
有凹口的,notched
通知,notify
臭名昭彰,notoriety
臭名昭著的,notorious
言情的,novelettish
新奇,novelty
生手,novice
奴佛卜因,novocaine
有害的,noxious
细微的差异,nuance
到婚嫁年龄的,nubile
赤裸的,nude
裸露,nudity
轻触,nudge
无价值的,nugatory
使无效,nullify
无效,nullity
麻木的,numb
命理学,numerology
庄严的,numinous
钱币学的,numismatic
钱币学家,numismatist
女修道院,nunnery
婚姻的,nuptial
婚礼,nuptials
年轻女神,nymph
呆子的,oafish
橡树,oak
橹,oar
绿州,oasis
誓约,oath
固执的,obdurate
服从的,obedient
鞠躬,obeisance
极肥胖的,obese
肥胖,obesity
使困惑,obfuscate
厌恶,objection
令人厌恶的,objectionable
宗教的供品,oblation
责任,obligation
强制性的,obligatory
恳切的,obliging
间接的,oblique
涂掉,obliterate
遗忘,oblivion
不在意的,oblivious
大骂,obloquy
令人不愉快的,obnoxious
难解的,obscure
费解,obscurity
葬礼,obsequies
逢迎的,obsequious
遵守,observance
入迷,obsession
即将过时的,obsolescent
废弃的,obsolete
障碍,obstacle
产科学,obstetrics
固执的,obstinate
吵闹的,obstreperous
阻塞,obstruct
阻挠,obstruction
突出,obtrude
突出的,obtrusive
愚笨的,obtuse
正面,obverse
排除,obviate
西方,occidental
秘密的,occult
事件,occurrence
八十～八十九岁的人,octogenarian
眼睛的,ocular
眼科医生,oculist
残余物,oddments
长诗,ode
可憎的,odious
憎恶,odium
有香味的,odoriferous
食道,oesophagus
错事,offense
令人不快的,offensive
爱发命令的,officious
送秋波,ogle
油膏,ointment
嗅觉的,olfactory
寡头政治,oligarchy
征兆预兆,omen
预兆的不祥的,ominous
遗漏,omission
全能的万能的,omnipotent
无所不知的博识的,omniscient
杂食的,omnivorous
繁重的麻烦的,onerous
旁观者,onlooker
猛攻,onslaught
实体论,ontology
义务,onus
慢慢地流,ooze
像蛋白石的,opalescent
不透明的,opaque
不透明,opacity
小歌剧,operetta
实施中的,operative
眼科,ophthalmology
安眠药,opiate
固执已见的,opinionated
对手,opponent
合适的,opportune
残酷的压迫的,oppressive
辱骂的,opprobrious
恶名声,opprobrium
乐观主义,optimism
最好的,optimum
可自由选择的,optional
富裕的,opulent
富裕,opulence
代神发布神谕的人,oracle
神谕的,oracular
正式演说,oration
清唱剧,oratorio
兰花,orchid
任命,ordain
严峻考验,ordeal
法令,ordinance
授任圣职,ordination
大炮,ordnance
矿,ore
生物,organism
上升的,orient
定向,orientation
小开口,orifice
创造性,originality
华美的,ornate
鸟类学,ornithology
宏亮的,orotund
畸齿矫正学,orthodontics
正统的,orthodox
正统学说,orthodoxy
整形手术,orthopedics
摆动,oscillate
振动,oscillation
渗透,osmosis
骨的,osseous
硬化,ossify
表面上的,ostensible
夸示,ostentation
放逐,ostracize
鸵鸟,ostrich
不必要的,otiose
出价多于,outbid
以机智胜过,outfox
友善的,outgoing
奇怪的,outlandish
不再流行的,outmoded
残暴暴行,outrage
粗暴的,outrageous
开始,outset
郊区,outskirts
超过,outstrip
以机智胜过,outwit
热烈的欢迎,ovation
把表演得过火,overact
专横的,overbearing
过度剂量,overdose
彻底检查,overhaul
重叠,overlap
做事过头,overreach
不理会,override
最主要的,overriding
不准,overrule
遮蔽,overshadow
公开的非秘密的,overt
前奏曲序曲,overture
自负的,overweening
泛滥,overwhelm
巨大的,overwhelming
紧张过度的,overwrought
猫头鹰,owl
氧化,oxidize
牡蛎,oyster
食物,pabulum
厚皮动物,pachyderm
调停者,pacifier
充满人的,packed
协定,pact
赞美歌,paean
没有宗教信仰的人,pagan
异教,paganism
壮观的游行,pageant
止痛药,painkiller
伙伴,pal
美味的,palatable
上腭,palate
宫殿般的,palatial
空谈,palaver
古文字学,paleography
旧石器时代的,paleolithic
调色板,palette
篱笆,palings
减轻,palliate
减轻,palliation
苍白的,pallid
明显的,palpable
急速而不规则地跳动,palpitate
无价值的,paltry
纵容,pamper
小册子,pamphlet
严厉批评,pan
万灵药,panacea
胰脏,pancreas
大范围流行的,pandemic
喧嚣,pandemonium
颂词,panegyric
讨论小组,panel
恐慌,panic
全副穿戴,panoply
全景,panorama
万神殿,pantheon
哑剧,pantomime
食品室,pantry
莎草,papyrus
同等,par
寓言,parable
范,paradigm
作为示范的,paradigmatic
矛盾似矛盾而正确的说法,paradox
模范,paragon
使瘫痪,paralyze
瘫痪,paralysis
最重要的,paramount
偏执狂,paranoia
偏执狂的,paranoid
寄生虫,parasite
寄生的,parasitic
烘烤,parch
羊皮纸,parchment
插入语,parenthesis
贱民,pariah
和谈,parley
靠不住的,parlous
教区的,parochial
嘲弄文章,parody
突发,paroxysm
镶木地板．,parquet
镶木地板艺术或图案,parquetry
挡开,parry
太节省的,parsimonious
偏袒,partiality
事实,particulars
党派支持者．,partisan
瓜分,partition
生产,parturition
暴发户,parvenu
彩色粉笔画,pastel
以高热杀菌,pasteurize
消遣,pastime
牧师,pastor
田园生活的,pastoral
糕点,pastry
补丁,patch
专利权,patent,显而易见的
引起怜悯的,pathetic
病理学,pathology
哀婉,pathos
绿锈,patina
庭院,patio
家长,patriarchy
贵族,patrician
爱国主义,patriotism
赞助,patronage
小量,paucity
贫民,pauper
典当,pawn
典当商,pawnbroker
憔悴,peak
憔悴的,peaky
小卵石,pebble
小过失,peccadillo
胸部的,pectoral
挪用,peculate
金钱上的,pecuniary
教育学,pedagogy
迂腐之人,pedant
迂腐,pedantry
基座,pedestal
徒步的,pedestrian
小儿科,pediatrics
偷看,peek
同等之人,peer
坏脾气的,peevish
带有轻蔑意义的,pejorative
财富,pelf
混乱地,pell-mell
清晰的,pellucid
毛皮．投掷,pelt
围栏,pen
置于不利地位,penalize
刑罚,penalty
自我惩罚,penance
爱好,penchant
吊着的,pendent
即将发生的,pending
摆,pendulum
悬挂而摇摆不定的,pendulous
刺穿,penetrate
敏锐的,penetrating
穿透,penetration
后悔的,penitent
监狱,penitentiary
信号旗,pennant
养老金,pension
沉思的,pensive
倒数第二的,penultimate
半明半暗之处,penumbra
贫困的,penurious
贫穷,penury
胡椒味的,peppery
胃蛋白酶,pepsin
产生胃酶的,peptic
巡行,perambulate
察觉,perceive
可以感觉到的,perceptible
洞察力,perception
感觉敏锐的,perceptive
鲈鱼,perch,栖息
洞察力强的,percipient
过滤出,percolate
撞击,percussion
敲击乐器乐师,percussionist
游历,peregrination
专横的,peremptory
终年的,perennial
力求完美者,perfectionist
不忠的,perfidious
不忠,perfidy
打洞,perforate
香味,perfume
草率的,perfunctory
近地点,perigee
危险,peril
危险的,perilous
周长,perimeter
句号,period
巡游的,peripatetic
不重要的,peripheral
外围,periphery
迂回的,periphrastic
死,perish
易坏的,perishable
严寒的,perishing
作伪证,perjure
伪证,perjury
活泼的,perky
可渗透的,permeable
扩散,permeate
过份纵容的,permissive
排列变化,permutation
有害的,pernicious
结尾,peroration
垂直的,perpendicular
犯罪,perpetrate
使永存,perpetuate
永恒,perpetuity
困惑的,perplexed
困惑,perplexity
固定津贴,perquisite
迫害,persecute
迫害,persecution
坚忍,persevere
坚忍不拔的,persevering
挖苦,persiflage
固执的,persistent
势利的,persnickety
英俊的,personable
名人,personage
诽谤,personalities
典型,personification
角度,perspective
独具慧眼的,perspicacious
出汗,perspiration
能劝说的,persuasive
属于,pertain
顽固的,pertinacious
有关的,pertinent
烦乱,perturbation
细读,peruse
弥漫,pervade
遍及的,pervasive
刚愎自用的,perverse
刚愎,perversity
使堕落,pervert
堕落,perversion
讨厌的,pesky
害虫,pest
杀虫剂,pesticide
致死的,pestilent
纠缠,pester
杵,pestle
请愿,petition
请愿人,petitioner
石化,petrify
石化,petrifaction
岩石学,petrology
易怒的,pettish
性急的,petulant
伪善的,pharisaic
制药的,pharmaceutical
药理学,pharmacology
鬼怪,phantom
幻影的,phantasmal
小瓶,phial
调戏追逐女人,philander
慈善家,philanthropist
集邮,philately
集邮家,philatelist
庸人,philistine
语文学,philology
冷静的,phlegmatic
恐惧症,phobia
假的,phony
光合作用,photosynthesis
警句,phrase
轻柔的,piano
阳台,piazza
杂色的,pied
桥墩,pier
刺透,pierce
刺骨的,piercing
虔诚,piety
天然色素,pigment
猪圈,pigsty
偷窃,pilfer
朝圣客,pilgrim
抢劫,pillage
颈手枷,pillory
钳子,pincers
捏,pinch
松树憔悴,pine
尖塔,pinnacle
辛辣的,piquant
　因自尊心受伤害而导致的)不悦愤怒,pique,v
海盗,pirate
v脚尖立地的旋转,pirouette
捕鱼的,piscatorial
手枪,pistol
沥青,pitch
音调,pitch
有柄水罐,pitcher
陷阱,pitfall
精髓,pith
简练的,pithy
枢轴,pivot
抚慰,placate
安慰剂,placebo
安静的,placid
剽窃,plagiarism
瘟疫,plague
原告,plaintiff
可怜的,plaintive
发辫,plait
刨子,plane
如泣如诉的,plangent
厚木板,plank
浮游生物,plankton
灰泥,plaster,n
抹上灰泥的,plastered
塑胶,plastic,可塑的
可塑性,plasticity
高原,plateau
陈腔滥调,platitude
纯友谊的,platonic
似乎合理的,plausible
剧作家,playwright
广场,plaza
恳求,plead
褶,pleat
平民,plebeian
完全,plenitude
赘语的,pleonastic
过量,plethora
易弯的,pliable
易受影响的,pliant
钳子,pliers
柱脚底座,plinth
重步走,plod
情节,plot
花招,ploy
拨毛勇气,pluck
羽毛,plumage
精确地,plumb
整理羽毛,plume,羽毛
垂直或突然地堕下,plummet
颇胖的,plump
抢劫,plunder
豪华的,plush
富豪,plutocracy
等候顾客,ply
肺炎,pneumonia
豆荚,pod
足病科,podiatry
讲坛,podium
蹩脚诗人,poetaster
伤心的,poignant
辛酸事,poignancy
一种短毛猎犬,pointer
使相等,poise
刺,poke
狭小的,poky
极端性,polarity
极化,polarization
争论,polemic
引起论战的,polemical
把⋯擦光亮上光剂,polish
花粉,pollen
给⋯⋯授粉,pollinate
民意测验家,pollster
懦夫,poltroon
一妻多夫制,polyandry
一夫多妻制,polygamy
通晓多种语言的,polyglot
知识广博者,polymath
盛况,pomp
自大,pomposity
自大的,pompous
　斗篷,poncho,n
仔细考虑,ponder
笨重的,ponderous
匕首,poniard
自以为是的,pontifical
小马,pony
民众,populace
人口稠密的,populous
瓷,porcelain
猪的,porcine
豪猪,porcupine
可渗透的,porous
轻便的,portable
预兆,portend
凶兆,portent
凶兆的,portentous
文件夹,portfolio
摆姿势,pose
装模作样的人,poseur
假定,posit
肯定,positiveness
疯狂的,possessed
较后的,posterior
后代,posterity
死后的,posthumous
假定,postulate
适于饮用的,potable
畅饮,potation
能力,potency
强有力的,potent
统治者,potentate
混杂,potpourri
实际的,pragmatic
实用主义,pragmatism
恶作剧,prank
瞎扯,prate
闲聊,prattle
传教,preach
前言,preamble
危险的,precarious
在⋯之前,precede
先,precedent
箴言,precept
教师,preceptor
悬崖,precipice
加速,precipitate
急躁,precipitation
陡峭的,precipitous
摘要,precis
避免,preclude
早熟的,precocious
预感,precognition
先入之见,preconception
先驱,precursor
食肉动物,predator
注定,predestine
困境,predicament
可预知的,predictable
偏好,predilection
倾向,predisposition
有势力的,predominant
出类拔萃的,preeminent
以先买权取得,preempt
先买权,preemption
整理羽毛,preen
序言,preface
预示,prefigure
怀孕,pregnancy
怀孕的,pregnant
有害的,prejudicial
无文字,preliterate
序幕,prelude
预谋的,premeditated
首次公演,premiere
保险费,premium
心事重重的,preoccupied
压倒,preponderate
优势,preponderance
给人好感的,prepossessing
荒谬的,preposterous
先决条件,prerequisite
特权,prerogative
预感,presage
有先见之明的,prescient
规定的,prescribed
命令,prescript
处方,prescription
主持人,presenter
保护,preserve
防腐的,preservative
负责,preside
挤压,press
变戏法,prestidigitation
有名望的,prestigious
快拍,presto
可能的,presumable
假定,presumption
自大的,presumptuous
预先假定,presupposition
虚伪,pretence,n
假的,pretended
自命不凡,pretension
做作的,pretentious
自命不凡,pretentiousness
异常的,preternatural
借口,pretext
战胜,prevail
盛行的,prevailing
普遍的,prevalent
支吾其词,prevaricate
先见,prevision
被捕食的动物,prey
小刺,prick
刺,prickle
多刺的,prickly
自以为比别人更有道德的人,prig
端庄的,prim
灵长类,primate
